"","reg5","reg7","income","gender","age","edu1","edu2","occ","group","pq1","pq2","pq3","pq4","partyID","pq6","ideology","pq8","pq9","pq10","treat","direct","indirect","q3","q4","q5","q6","q7","q8","q9","party","party_f","party_lib","party_con","ideo_f","ideo_con","ideo_lib","college","korean_war","men"
"114",3,2,3,2,45,5,1,0,0,1,11,11,2,3,1,"Lib",3,1,3,5,2,2,5,3,3,4,4,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"115",1,1,5,1,67,4,2,1,0,1,8,1,2,7,0,"Con",1,1,3,4,3,3,5,5,1,4,5,5,1,"No Party","No Party",0,0,"Con",1,0,1,1,1
"116",3,3,1,2,43,6,0,0,0,1,13,3,2,3,1,"Lib",1,1,4,5,3,3,1,1,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"117",2,5,2,1,69,2,2,0,0,1,15,15,1,7,0,"Con",1,1,4,1,2,3,3,3,3,3,3,5,1,"No Party","No Party",0,0,"Con",1,0,0,1,1
"118",3,7,1,2,64,3,2,9,0,1,16,16,2,1,1,"Con",1,1,3,4,2,2,5,4,4,4,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,0
"119",2,7,2,2,48,6,0,0,0,1,5,5,1,8,0,"Don't know",4,3,4,4,3,2,1,3,5,3,5,4,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,0
"120",3,5,7,1,35,4,2,4,0,1,10,2,1,8,0,"Lib",1,1,4,3,1,1,2,2,1,1,4,5,1,"Don't know","Don't know",0,0,"Lib",0,1,1,0,1
"121",3,2,3,1,61,3,2,4,0,1,8,8,2,1,1,"Con",1,1,4,5,1,3,4,4,3,3,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,1
"122",3,3,5,2,55,3,2,2,0,1,9,13,2,1,1,"Moderate",1,1,3,2,3,2,3,2,1,1,2,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,0
"123",3,2,2,2,63,4,2,0,0,1,1,8,2,1,1,"Lib",1,2,3,3,4,2,3,3,1,3,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,0,0
"124",3,7,4,2,57,3,2,9,0,1,12,12,3,3,1,"Don't know",2,3,3,4,1,1,3,1,1,1,1,1,1,"Liberal Partisans","Liberal Partisans",1,0,"Don't know",0,0,0,0,0
"125",1,1,1,2,59,3,2,0,0,1,4,1,1,7,0,"Moderate",1,1,4,1,1,2,3,1,1,1,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"126",2,5,1,2,50,4,1,9,0,1,6,6,2,3,1,"Lib",2,2,3,3,2,1,3,1,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"127",3,2,2,1,68,4,2,0,0,1,8,8,2,1,2,"Con",1,1,4,4,2,2,3,2,1,1,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,1,1
"128",4,7,2,2,52,3,2,3,0,1,11,1,1,4,2,"Moderate",3,1,3,1,2,1,4,4,3,4,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,0
"129",3,2,3,2,56,3,2,0,0,1,15,15,2,3,1,"Lib",2,3,4,1,2,2,1,1,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"130",2,2,4,1,46,3,2,4,0,1,15,15,1,7,0,"Lib",1,4,3,1,2,2,4,3,4,4,4,4,1,"No Party","No Party",0,0,"Lib",0,1,0,0,1
"131",2,5,2,1,67,4,2,0,0,1,10,10,1,2,1,"Moderate",1,1,3,1,2,2,3,3,3,1,1,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,1,1,1
"132",3,2,2,2,60,4,2,0,0,1,8,8,2,1,1,"Lib",1,1,3,4,2,3,3,3,3,5,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,0,0
"133",1,1,1,2,60,4,2,9,0,1,3,3,1,8,0,"Con",1,4,4,4,3,2,4,2,2,4,4,3,1,"Don't know","Don't know",0,0,"Con",1,0,1,0,0
"134",2,7,3,1,59,4,2,3,0,1,12,12,1,3,1,"Lib",1,1,3,5,1,2,4,4,2,5,4,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"135",2,3,2,2,60,6,0,5,0,1,13,7,1,3,1,"Lib",2,1,1,3,2,2,2,1,2,3,1,2,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
